,"tunnel support
 pattern","face
No.","upper 
/
bottom","area
[m2]","progression
[m]","excavation 
volume
[m3]",date,"wg3,piece","wg3,kg","wg25,piece","wg25,kg","wg,kg","anfo,kg","f06,piece","fconnect,piece","eldet,piece",pyro1,pyro2,pyro3,pyro4,pyro5,pyro6,pyro7,pyro8,pyro9,pyro10,pyro12,pyro14,pyro16,pyro17,pyro18,pyro19,pyro20,pyro21,total,kg/m3,faceN
515,D_,663,upper & bottom,98.744,1.0,98.7,2021.7.2,0,0,224.0,22.4,0,151,8,8,1,10.0,12.0,12.0,13.0,12.0,13.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,98.0,1.53,663
516,D_,664,upper,98.744,1.0,98.7,2021.7.2,0,0,39.0,3.9,0,37,4,4,1,0.0,0.0,1.0,9.0,0.0,4.0,7.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,39.0,0.37,664
517,D_,665,upper & bottom,98.744,1.0,98.7,2021.7.5,0,0,246.0,24.6,0,138,8,8,1,10.0,11.0,12.0,16.0,11.0,12.0,7.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,96.0,1.4,665
518,D_,666,upper,98.744,1.0,98.7,2021.7.5,0,0,43.0,4.3,0,28,5,5,1,2.0,0.0,3.0,3.0,2.0,8.0,8.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,43.0,0.28,666
519,D_,667,upper & bottom,98.744,1.0,98.7,2021.7.5,0,0,219.0,21.9,0,100,6,6,1,6.0,10.0,10.0,10.0,8.0,5.0,4.0,8.0,6.0,2.0,0,0,0,0,0,0,0,0,69.0,1.01,667
520,D_,668,upper,98.744,1.0,98.7,2021.7.5,0,0,75.0,7.5,0,47,3,3,1,4.0,4.0,4.0,6.0,6.0,5.0,4.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,35.0,0.48,668
521,D_,669,upper & bottom,98.744,1.0,98.7,2021.7.6,0,0,237.0,23.7,0,127,8,8,1,10.0,12.0,12.0,16.0,12.0,14.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,102.0,1.29,669
522,D_,670,upper,98.744,1.0,98.7,2021.7.6,0,0,37.0,3.7,0,39,4,4,1,0.0,0.0,0.0,6.0,4.0,3.0,7.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,37.0,0.39,670
523,D_,671,upper & bottom,98.744,1.0,98.7,2021.7.6,0,0,43.0,4.3,0,84,3,3,1,3.0,3.0,3.0,7.0,3.0,7.0,8.0,5.0,3.0,1.0,0,0,0,0,0,0,0,0,43.0,0.85,671
524,D_,672,upper,98.744,1.0,98.7,2021.7.7,0,0,73.0,7.3,0,49,5,5,1,5.0,5.0,5.0,11.0,10.0,11.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,73.0,0.5,672
525,D_,673,upper & bottom,98.744,1.0,98.7,2021.7.7,0,0,248.0,24.8,0,126,8,8,1,10.0,12.0,12.0,16.0,12.0,13.0,7.0,8.0,6.0,2.0,0,0,0,0,0,0,0,0,98.0,1.28,673
526,D_,674,upper,98.744,1.0,98.7,2021.7.7,0,0,62.0,6.2,0,27,5,5,1,0.0,0.0,0.0,0.0,5.0,6.0,8.0,8.0,6.0,2.0,0,0,0,0,0,0,0,0,35.0,0.27,674
527,D_,675,upper & bottom,98.744,1.0,98.7,2021.7.7,0,0,277.0,27.7,0,132,8,8,1,10.0,12.0,12.0,16.0,13.0,13.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,102.0,1.34,675
528,D_,676,upper,98.744,1.0,98.7,2021.7.8,0,0,37.0,3.7,0,41,4,4,1,0.0,0.0,0.0,5.0,6.0,1.0,8.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,37.0,0.42,676
529,D_,677,upper,98.744,1.0,98.7,2021.7.8,0,0,275.0,27.5,0,85,9,9,1,9.0,12.0,11.0,16.0,14.0,12.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,100.0,0.86,677
530,D_,678,upper & bottom,98.744,1.0,98.7,2021.7.8,0,0,82.0,8.2,0,45,5,5,1,0.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,6.0,2.0,0,0,0,0,0,0,0,0,38.0,0.46,678
531,D_,679,upper,98.744,1.0,98.7,2021.7.9,0,0,240.0,24.0,0,66,8,8,1,10.0,12.0,12.0,16.0,12.0,12.0,7.0,11.0,6.0,2.0,0,0,0,0,0,0,0,0,100.0,0.67,679
532,D_,680,upper & bottom,98.744,1.0,98.7,2021.7.9,0,0,55.0,5.5,0,42,5,5,1,0.0,0.0,3.0,7.0,6.0,9.0,7.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,50.0,0.43,680
533,D_,681,upper,98.744,1.0,98.7,2021.7.9,0,0,220.0,22.0,0,95,6,6,1,6.0,8.0,8.0,10.0,8.0,6.0,8.0,8.0,6.0,2.0,0,0,0,0,0,0,0,0,70.0,0.96,681
534,D_,682,upper & bottom,98.744,1.0,98.7,2021.7.9,0,0,81.0,8.1,0,42,3,3,1,4.0,4.0,4.0,6.0,6.0,6.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,32.0,0.43,682
535,D_,683,upper,98.744,1.0,98.7,2021.7.10,0,0,191.0,19.1,0,70,7,7,1,7.0,9.0,8.0,15.0,12.0,13.0,7.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,88.0,0.71,683
536,D_,684,upper & bottom,98.744,1.0,98.7,2021.7.12,0,0,316.0,31.6,0,85,8,8,1,10.0,12.0,12.0,16.0,14.0,11.0,8.0,10.0,6.0,2.0,0,0,0,0,0,0,0,0,101.0,0.86,684
537,D_,685,upper,98.744,1.0,98.7,2021.7.12,0,0,91.0,9.1,0,35,5,5,1,0.0,0.0,0.0,2.0,8.0,11.0,8.0,9.0,6.0,2.0,0,0,0,0,0,0,0,0,46.0,0.35,685
